date,open,high,low,close,volume
2020-09-18 12:10:00,94.485,94.485,94.37,94.37,3603.0
2020-09-18 12:11:00,94.37,94.44,94.37,94.44,1229.0
2020-09-18 12:12:00,94.44,94.44,94.35,94.38,3076.0
2020-09-18 12:13:00,94.38,94.38,94.245,94.245,1888.0
2020-09-18 12:14:00,94.21,94.25,94.14,94.165,6264.0
2020-09-18 12:15:00,94.175,94.1944,94.12,94.14,2085.0
2020-09-18 12:16:00,94.13,94.13,93.98,94.055,4704.0
2020-09-18 12:17:00,94.12,94.13,93.99,94.01,4409.0
2020-09-18 12:18:00,93.98,94.07,93.98,94.04,3204.0
2020-09-18 12:19:00,94.03,94.09,93.97,93.99,12094.0
2020-09-18 12:20:00,94.03,94.04,93.96,94.01,8605.0
2020-09-18 12:21:00,94.04,94.09,94.025,94.05,2554.0
2020-09-18 12:22:00,94.0,94.02,93.955,94.01,10207.0
2020-09-18 12:23:00,94.05,94.125,93.98,94.0,4069.0
2020-09-18 12:24:00,94.01,94.07,93.98,94.03,9585.0
2020-09-18 12:25:00,94.06,94.06,93.99,94.03,5580.0
2020-09-18 12:26:00,94.03,94.03,93.99,94.02,2519.0
2020-09-18 12:27:00,94.05,94.1,94.05,94.06,2131.0
2020-09-18 12:28:00,94.0,94.03,93.96,94.01,9988.0
2020-09-18 12:29:00,94.0001,94.05,93.985,93.985,10854.0
2020-09-18 12:30:00,94.0,94.045,93.99,94.03,5689.0
2020-09-18 12:31:00,94.06,94.07,93.98,94.0,4887.0
2020-09-18 12:32:00,93.99,94.0,93.55,93.65,44435.0
2020-09-18 12:33:00,93.65,93.65,93.55,93.56,2794.0
2020-09-18 12:34:00,93.54,93.6,93.41,93.6,10593.0
2020-09-18 12:35:00,93.59,93.77,93.59,93.72,43630.0
2020-09-18 12:36:00,93.79,93.82,93.73,93.82,3028.0
2020-09-18 12:37:00,93.83,93.86,93.72,93.78,6169.0
2020-09-18 12:38:00,93.8,94.05,93.8,94.05,28397.0
2020-09-18 12:39:00,94.0,94.02,93.97,94.0,17997.0
2020-09-18 12:40:00,94.01,94.05,93.99,94.02,7254.0
2020-09-18 12:41:00,94.0,94.05,93.99,94.03,6837.0
2020-09-18 12:42:00,94.04,94.04,93.96,94.03,5287.0
2020-09-18 12:43:00,94.035,94.035,93.85,93.94,12867.0
2020-09-18 12:44:00,93.96,93.975,93.85,93.85,2817.0
2020-09-18 12:45:00,93.85,93.91,93.85,93.89,1270.0
2020-09-18 12:46:00,93.89,93.96,93.89,93.95,4797.0
2020-09-18 12:47:00,93.96,94.04,93.954,94.01,4967.0
2020-09-18 12:48:00,93.98,93.98,93.91,93.9449,1948.0
2020-09-18 12:49:00,93.92,93.92,93.8028,93.8028,1987.0
